subjectID,Start,Object_1,Object_2,congruence,correctness,tooSlow,trialNumber,displayedResponseTime,attention
6,SB,B,S,True,True,False,37,450.00000000000006,
6,SB,S,B,True,True,False,38,400.0,
6,BS,B,B,False,True,False,39,650.0,94.0
7,BS,B,B,False,False,True,0,933.3333333333334,
7,SB,B,B,False,False,False,1,133.33333333333334,
7,BS,B,S,True,True,False,2,83.33333333333334,
7,SB,S,B,True,True,False,3,100.0,
7,BS,B,B,False,False,False,4,0.0,
7,SB,B,B,False,False,False,5,33.333333333333336,
7,BS,B,S,True,True,False,6,233.33333333333331,
7,SB,S,B,True,False,True,7,933.3333333333334,
7,BS,S,S,False,False,False,8,16.666666666666668,
7,BS,S,B,True,True,False,9,116.66666666666669,
7,BS,S,S,False,False,False,10,100.0,
7,BS,S,B,True,True,False,11,200.0,
7,BS,B,B,False,False,False,12,233.33333333333331,
7,SB,S,B,True,True,False,13,783.3333333333334,
7,SB,B,B,False,False,False,14,300.0,
7,BS,B,S,True,True,False,15,50.0,
7,BS,B,B,False,False,False,16,116.66666666666669,
7,BS,B,S,True,True,False,17,83.33333333333334,
7,SB,S,B,True,True,False,18,100.0,
7,BS,S,S,False,False,False,19,33.333333333333336,
7,BS,S,B,True,True,False,20,50.0,
7,SB,B,B,False,False,False,21,150.0,
7,SB,S,S,False,False,False,22,33.333333333333336,
7,BS,S,B,True,True,False,23,900.0000000000001,
7,SB,B,S,True,False,False,24,900.0000000000001,
7,BS,B,B,False,True,False,25,700.0,
7,SB,B,B,False,False,False,26,383.33333333333337,
7,SB,S,B,True,True,False,27,766.6666666666667,
7,BS,B,B,False,True,False,28,666.6666666666667,
7,SB,S,B,True,True,False,29,450.00000000000006,
7,SB,B,S,True,True,False,30,533.3333333333334,
7,SB,B,B,False,True,False,31,533.3333333333334,
7,BS,S,B,True,True,False,32,716.6666666666667,
7,SB,S,S,False,True,False,33,583.3333333333334,
7,SB,B,B,False,True,False,34,750.0,
7,BS,S,S,False,True,False,35,516.6666666666667,
7,BS,B,B,False,True,False,36,433.33333333333337,
7,SB,S,B,True,True,False,37,566.6666666666667,
7,BS,S,B,True,True,False,38,400.0,
7,BS,B,S,True,True,False,39,716.6666666666667,85.0
8,SB,B,B,False,False,True,0,950.0,
8,SB,S,B,True,True,False,1,566.6666666666667,
8,BS,B,B,False,True,False,2,433.33333333333337,
8,SB,B,S,True,True,False,3,466.6666666666667,
8,SB,B,B,False,True,False,4,350.0,
8,SB,S,B,True,True,False,5,383.33333333333337,
8,BS,B,B,False,True,False,6,366.6666666666667,
8,SB,B,S,True,True,False,7,383.33333333333337,
8,BS,S,B,True,True,False,8,450.00000000000006,
8,SB,S,S,False,True,False,9,400.0,
8,BS,S,B,True,True,False,10,350.0,
8,BS,S,S,False,True,False,11,400.0,
8,SB,S,B,True,True,False,12,450.00000000000006,
8,BS,B,B,False,True,False,13,416.6666666666667,
8,SB,B,B,False,True,False,14,450.00000000000006,
8,BS,B,S,True,True,False,15,383.33333333333337,
8,BS,S,B,True,True,False,16,366.6666666666667,
8,SB,S,B,True,True,False,17,350.0,
8,BS,B,B,False,True,False,18,416.6666666666667,
8,BS,B,S,True,True,False,19,416.6666666666667,
8,SB,B,B,False,True,False,20,433.33333333333337,
8,SB,S,S,False,True,False,21,600.0,
8,SB,S,B,True,True,False,22,616.6666666666667,
8,SB,B,S,True,True,False,23,450.00000000000006,
8,SB,B,B,False,True,False,24,383.33333333333337,
8,BS,S,B,True,True,False,25,400.0,
8,BS,B,B,False,True,False,26,300.0,
8,SB,S,S,False,True,False,27,383.33333333333337,
8,SB,B,B,False,True,False,28,433.33333333333337,
8,BS,B,B,False,True,False,29,533.3333333333334,
8,BS,S,B,True,True,False,30,416.6666666666667,
8,SB,S,S,False,True,False,31,383.33333333333337,
8,SB,S,B,True,True,False,32,366.6666666666667,
8,SB,B,S,True,True,False,33,383.33333333333337,
8,SB,S,S,False,True,False,34,516.6666666666667,
8,SB,S,B,True,True,False,35,450.00000000000006,
8,SB,B,B,False,True,False,36,450.00000000000006,
8,BS,B,B,False,True,False,37,433.33333333333337,
8,SB,B,S,True,True,False,38,400.0,
8,BS,S,B,True,True,False,39,366.6666666666667,100.0
9,BS,B,S,True,True,False,0,300.0,
9,SB,B,B,False,True,False,1,500.00000000000006,
9,SB,S,S,False,True,False,2,483.33333333333337,
9,SB,S,B,True,True,False,3,350.0,
9,BS,B,S,True,True,False,4,416.6666666666667,
9,SB,B,B,False,True,False,5,450.00000000000006,
9,SB,S,S,False,True,False,6,483.33333333333337,
9,SB,S,B,True,True,False,7,350.0,
9,BS,S,S,False,True,False,8,466.6666666666667,
9,SB,B,S,True,True,False,9,633.3333333333334,
9,SB,B,S,True,True,False,10,516.6666666666667,
9,BS,S,S,False,True,False,11,500.00000000000006,
9,BS,S,B,True,True,False,12,366.6666666666667,
9,SB,S,S,False,True,False,13,466.6666666666667,
9,BS,B,S,True,True,False,14,566.6666666666667,
9,SB,B,B,False,True,False,15,400.0,
9,SB,S,S,False,True,False,16,366.6666666666667,
9,BS,S,B,True,True,False,17,350.0,
9,BS,B,S,True,True,False,18,350.0,
9,SB,B,S,True,True,False,19,433.33333333333337,
9,BS,S,S,False,True,False,20,383.33333333333337,
9,SB,B,B,False,True,False,21,433.33333333333337,
9,BS,S,S,False,True,False,22,383.33333333333337,
9,BS,S,B,True,True,False,23,433.33333333333337,
9,BS,B,S,True,True,False,24,333.33333333333337,
9,SB,S,S,False,True,False,25,433.33333333333337,
9,SB,B,S,True,True,False,26,400.0,
9,SB,B,B,False,False,False,27,416.6666666666667,
9,SB,S,B,True,True,False,28,483.33333333333337,
9,BS,S,S,False,True,False,29,483.33333333333337,
9,BS,B,B,False,True,False,30,450.00000000000006,
9,BS,B,S,True,True,False,31,550.0,
9,SB,S,S,False,True,False,32,400.0,
9,SB,B,S,True,True,False,33,800.0,
9,BS,S,S,False,True,False,34,450.00000000000006,
9,SB,B,S,True,True,False,35,466.6666666666667,
9,SB,S,B,True,True,False,36,316.6666666666667,
9,SB,S,S,False,True,False,37,466.6666666666667,
9,BS,B,S,True,True,False,38,450.00000000000006,
9,BS,B,B,False,False,False,39,416.6666666666667,92.0
10,BS,B,S,True,True,False,0,316.6666666666667,
10,SB,S,S,False,False,False,1,83.33333333333334,
10,SB,B,S,True,True,False,2,466.6666666666667,
10,BS,S,B,True,True,False,3,316.6666666666667,
10,BS,B,S,True,True,False,4,566.6666666666667,
10,SB,S,S,False,True,False,5,366.6666666666667,
10,SB,B,S,True,True,False,6,416.6666666666667,
10,BS,S,B,True,True,False,7,383.33333333333337,
10,BS,S,S,False,True,False,8,516.6666666666667,
10,SB,B,B,False,False,False,9,433.33333333333337,
10,BS,S,B,True,True,False,10,466.6666666666667,
10,SB,S,S,False,True,False,11,433.33333333333337,
10,SB,B,S,True,True,False,12,383.33333333333337,
10,BS,S,S,False,True,False,13,383.33333333333337,
10,BS,B,S,True,True,False,14,466.6666666666667,
10,BS,B,B,False,True,False,15,333.33333333333337,
10,SB,S,S,False,True,False,16,433.33333333333337,
10,SB,B,S,True,True,False,17,400.0,
10,BS,S,B,True,True,False,18,416.6666666666667,
10,BS,B,S,True,True,False,19,433.33333333333337,
10,BS,B,B,False,True,False,20,516.6666666666667,
10,BS,S,S,False,True,False,21,483.33333333333337,
10,BS,B,B,False,True,False,22,416.6666666666667,
10,SB,B,S,True,True,False,23,433.33333333333337,
